"LvNTM","","Vanilla","","Early Game","","Oil Age","","Reactors","","Automation","","Ores","","Ingots","","Refined Storage","","Recipe Changes","","Leftovers",""
"64x Sand","","Titanium Ingot","","First Aid Kit","","Industrial Solidification Machine","","ZIRNOX Nuclear Reactor","","Logistics Drone","","Asbestos Ore","","Diamond","","Controller","","Why?","","4x Red Copper Deco Block",""
"64x Redstone","","Blaze Rod","","Early Items and Machines","","Rubber Bar","","ZIRNOX Uranium-235 Fuel Rod","","Logistics Drone Waypoint","","Nether Plutonium Ore","","Vanilla Ingots","","Refined Storage","","4k Storage Part","","Nugget of Uranium Fuel",""
"16x Charcoal","","Nether Quartz","","8x Universal Fluid Duct","","1 B of Light Oil","","Spent Fuel Pool Drum","","Double-Lane Conveyor Belt","","Nether Uranium Ore","","Plutonium Ingot","","Grid","","Coated Red Copper Cable","","FEL",""
"4x Foxglove","","Any titaniumArmor","","Bullet Casing Bag","","Importer","","RBMK Nuclear Reactor","","Transport Drone","","Iron Ore","","Ferric Schrabidate Ingot","","Crafting Grid","","Lung Diagnostic","","Water",""
"LvNTM","","Any titaniumTools","","Heat Boxes","","Centrifuge","","ZIRNOX Natural Uranium Fuel Rod","","Transport Drone Linker","","Depth Cinnabar Ore","","Technetium Steel Ingot","","Pattern Grid","","Fireclay","","Reformate Gas",""
"16x Dandelion","","Grindstone","","Smokestack","","M1TTY Environment Suit Helmet","","Pu238Be Billet","","Transport Drone Crate","","NTM: Depth Nether Ores","","Thorium-232 Ingot","","Fluid Grid","","Ammo Press","","Tape Recorder",""
"What me do next?","","Smoker","","Empty Universal Fluid Tank","","Autocannon Turret "Jeremy"","","Reactor Grade Plutonium Nugget","","Screwdriver","","Depth Tungsten Ore Cluster","","Aluminium Ingot","","Portable Grid","","Burner Press Preheater","","Tantalium Nugget",""
"16x Clay","","Acquire Hardware","","Steel Barrel","","Unsaturated Hydrocarbons","","Chlorinated Petroleum Wax","","Transport Drone Waypoint","","Depth Titanium Ore Cluster","","Weapon Steel Ingot","","Wireless Grid","","","","Catalytic Cracking Tower",""
"Stone Resources","","Red Phosphorus","","Redstone-over-Radio Numeric Display","","Night Vision Goggles","","Nugget of Uranium Fuel","","16x Conveyor Belt","","Thorium Ore","","Bismuth Ingot","","1k Storage Part","","","","Sulfuric Acid",""
"16x Hemp","","Flint and Steel","","Combination Oven","","Turret AI-Chip","","Depleted ZIRNOX Uranium Fuel Rod","","Conveyor Grabber","","Titanium Ore","","Nuclear Tech Mod Ingots","","4k Storage Part","","","","Crystalline Fullerite",""
"32x Iron Ingot","","Stone Age","","High-Tech Bomb Defusing Device","","Industrial Boiler","","High-Performance Solvent","","8x Pneumatic Tube","","Nether Quartz Ore","","Desh Ingot","","16k Storage Part","","","","Pyrolysis Oven",""
"Buildings and Loot","","Any ironAnvil","","Wood-Burning Generator","","Heavy Flamethrower Turret "Fritz"","","Depleted ZIRNOX Uranium-235 Fuel Rod","","Conveyor Boxer","","Titanium Ore Cluster","","Nether Quartz","","64k Storage Part","","","","Uranium-235 Billet",""
"16x Any treeSapling","","Visit Dimension: The End","","Burner Press Preheater","","Vacuum Refinery","","Plutonium-238 Self-Charging Battery","","Logistics Provider Crate","","Lead Ore","","Steel Ingot","","Fluids Parts","","","","Polymer Bar",""
"Just Enough Items and WAILA","","Sulfur","","Recall Device","","Coker Unit","","4x Gas Centrifuge Overclocking Upgrade","","Logistics Requester Crate","","Cobalt Ore","","CMB Steel Ingot","","Crafter","","","","Military Grade Circuit Board",""
"16x Aluminium Ingot","","Infernal Coal","","Any flatStamp","","Ore Acidizer","","Plutonium Nugget","","Express Transport Drone","","Nether Schrabidium Ore","","Mid Game","","","","","","Decayed Long-Lived Nuclear Waste",""
"12x Lead Ingot","","Diamond Helmet","","Equipment Modification Tables","","1 B of Nitric Acid","","Spent Fuel Self-Charging Battery","","Triple-Lane Conveyor Belt","","Nuclear Tech Mod","","Coal","","","","","","High-Performance Solvent",""
"What me do?","","Obsidian","","RadAway","","Power Gauge","","Depleted Uranium Fuel","","Paintable Pneumatic Tube","","Tungsten Ore","","Osmiridium Ingot","","","","","","Hydrogen Peroxide",""
"16x Sugar Canes","","Visit Dimension: Nether","","Mining Charge","","Catalytic Cracking Tower","","Neptunium Nugget","","Desh Screwdriver","","Nether Cobalt Ore","","Euphemium Ingot","","","","","","Cracked Oil",""
"12x Titanium Ingot","","Flat Stamp (Obsidian)","","Conveyor Sorter","","Integrated Circuit Board","","Plutonium-238 Nugget","","Conveyor Press","","NTM: Depth Ores","","Ferrouranium Ingot","","","","","","Beryllium Nugget",""
"32x Industrial Grade Copper Ingot","","Advancement","","Cloth","","1 B of Heavy Oil","","Empty Self-Charging Battery","","Logistics Drone Dock","","Schist Copper Ore","","Saturnite Ingot","","","","","","Arsenic Nugget",""
"","","Coal and Black Lung","","Chemical Plant","","Desh Servo Set","","Technetium-99 Nugget","","8x Express Conveyor Belt","","Redstone Ore","","Schraranium Ingot","","","","","","Combination Oven",""
"","","Diamond Pickaxe","","Asbestos and Mesothelioma","","Gas Centrifuge","","Depleted Uranium-235 Fuel","","","","NTM: Nether Ores","","Uranium Ingot","","","","","","Technetium-99 Nugget",""
"","","Diamond","","Sulfuric Acid","","Radar","","ZIRNOX Uranium Fuel Rod","","","","Depth Iron Ore Cluster","","BSCCO Ingot","","","","","","Laser Isotope Separation Chamber (SILEX)",""
"","","Wooden Pickaxe","","Oil Reservoir Detector","","Electric Press","","Uranium-235 Nugget","","","","Vanilla","","Starmetal Ingot","","","","","","Cadmium Powder",""
"","","Iron Pickaxe","","Super Stimpak","","1 B of Bitumen","","Technetium Steel Ingot","","","","Schist Iron Ore","","Tungsten Ingot","","","","","","Steel Scaffold",""
"","","Trixite","","Coal and Black Lung, Second Revision Edition","","Desh Ingot","","Pu238Be RBMK Neutron Source","","","","Lignite Ore","","Gold Ingot","","","","","","Energy Storage Block (LEGACY)",""
"","","Trench Mask","","Iron Anvil","","1 B of Kerosene","","","","","","Rare Earth Ore Chunk","","End Game","","","","","","Uranium Hexafluoride",""
